location,latitude,longitude,utm_zone,utm_easting,utm_northing,Landtype,Season
2024-BENNY,45.465751,-73.632338,18,606915.67,5035601.25,public,Breeding
2024-TREN,45.460716,-73.632721,18,606895.24,5035041.37,public,Breeding
2024-LOYOLA,45.461102,-73.64694,18,605782.87,5035065.44,public,Breeding
2024-WB,45.457617,-73.648499,18,605667.5,5034676.22,public,Breeding
RY07,45.45998,-73.648157,18,605689.8,5034939,residential,Breeding
RY33,45.46421,-73.62443,18,607536.8,5035441,residential,Breeding
RY18,45.45613,-73.64465,18,605971.2,5034516,residential,Breeding
LOYC,45.45939,-73.64266,18,606120.7,5034881,public,Breeding
CONF,45.47264,-73.6394,18,606350.7,5036357,public,Breeding
RY24,45.47506,-73.63513,18,606679.8,5036632,residential,Breeding
RY32,45.46159,-73.64086,18,606257.3,5035128,residential,Breeding
RY06,45.46965,-73.64571,18,605863,5036017,residential,Breeding
